,avggpu,std,labels
176,27838691.15504635,1839199.2095979173,23150468.47059669
177,27834194.15074096,1803705.7788164597,22985980.653748546
178,27832029.835972257,1911688.8079975322,22391515.88889329
179,27818598.78269968,1839490.5455767792,22137258.906536013
180,27817897.005781945,1825125.8011845574,22723510.99409533
181,27812898.4698178,1893261.155901486,24419887.37209333
182,27830264.86554278,1882335.9405613448,24075654.16115092
183,27818399.540978856,1931201.743353866,23785293.300679307
184,27802471.06959097,1842515.9153867234,24213247.643310804
185,27814939.70554784,1911729.024088664,24429298.05701825
186,27824456.92132308,1761614.0255745146,24061872.75427958
187,27816072.24821485,1785703.9429258425,24112467.422243062
188,27816036.51043515,1927428.557249166,24330082.71824416
189,27815579.91650971,1865736.2458086833,24283816.802689347
190,27814474.199496407,1866259.6058548149,24080335.724799026
191,27820657.204437107,1820142.518741876,24550699.72770687
192,27816673.581890862,1915158.189171277,24649351.013157576
193,27828091.464836985,1829733.7559179384,24624490.518082432
194,27822911.42993781,1888086.6086460557,24486444.068786312
195,27811826.596608043,1994615.2697614748,24339774.98429628
196,27818032.08239046,1913459.68996872,23214770.474363107
197,27809256.849541903,1774741.6154937446,23719460.244553056
198,27835754.301697727,1913208.2589800972,23229602.845262665
199,27826257.10328251,1772639.039898878,22817192.81211923
200,27812018.534093834,1964672.20411703,22943358.23351549
201,27823911.889746822,1896225.4011829905,23100594.6749881
202,27794184.915764388,1974037.9187294897,22846012.72150312
203,27811461.024100505,1903667.3674757108,22409194.509236984
204,27805722.353025004,1861595.5150661413,22101743.46181065
205,27809854.458159316,1971926.6969638634,22016317.12394221
206,27808421.80903572,1904922.5033075064,21815780.4606168
207,27785797.78175825,1858300.7236777898,21653741.845645607
208,27803690.619557336,1840243.7686374318,21513760.712463792
209,27799200.770728264,1930837.6498030163,21485442.48892384
210,27784706.72734973,1915820.4971349426,21298437.077536464
211,27778316.509834804,1839241.8441999387,21084398.59984345
212,27789493.314109158,1763674.6207096204,21171448.57570793
213,27766542.89253822,1987881.322520418,20780051.51273228
214,27755111.890722275,1889100.6029355042,20928474.662131164
215,27774714.59048754,1884261.7067650799,20754840.713962734
216,27752617.73000193,1878317.6100484338,20281030.718616564
217,27755607.92909731,1971940.5983668603,20604252.454168912
218,27770287.1096788,1902146.9331169818,20526460.32422977
219,27730349.120581705,2029641.8210495692,21304333.636595044
220,27730905.787642986,1777895.1532055065,21636727.764215566
221,27731128.41274837,1937341.3059232403,24022762.51878899
222,27730089.612599973,1853492.622672189,23903814.79480205
223,27740441.590906765,1913147.4836130068,23904049.04346446
224,27723239.20284444,1835678.4953341745,23595283.05887451
225,27700405.41814096,1833980.686906986,22742989.64533513
226,27722215.22991456,1894587.1300374381,22273528.89267
227,27707614.15415341,1921924.3461408354,22192686.631498177
228,27713250.78254697,1822735.7083668988,22321433.87304521
229,27705559.3248548,1898237.767873967,22668922.201389343
230,27718318.82833301,1878021.1638832781,22883387.499531936
231,27715362.74301194,1773425.9310893696,22821484.666760903
232,27698665.605573505,1853159.1214982923,22782353.72227857
233,27698364.914846964,1973206.8381299805,22524225.896002103
234,27707518.468544703,1854713.907117162,22485257.475668672
235,27716859.133708157,1817339.7755918466,22548292.3298078
236,27695706.93238666,1742947.6266027968,22938921.277569223
237,27728877.132544104,1786891.0977348667,23028249.38562341
238,27692758.463235863,1977603.2580884788,23044851.76941242
239,27672592.23191236,1854011.9043004345,22991714.400748868
240,27716255.65569046,1951463.881235484,22893590.98249898
241,27697960.522489376,1913977.9361241758,22438269.744959205
242,27689681.93132968,1958095.1951678805,22192996.04263988
243,27710206.83069216,1890626.9602280557,22187734.31240073
244,27668192.91883724,1882498.3179793805,22086659.601768933
245,27669894.93584317,1960860.4990481604,21878930.062099684
246,27683660.824933857,1858423.0522133224,21597576.491245978
247,27691735.43384392,1977563.3478123043,21491935.49535328
248,27661872.12614101,1874704.5236393604,20839949.91099883
249,27676940.589028724,2079468.5005176142,20732965.879613698
250,27691410.337086864,1867153.9095951673,20680013.52614804
251,27671171.09582095,1944551.6810029056,20365099.09260549
252,27649545.47182688,1837719.6669859923,20392747.919067167
253,27670901.59753534,1983707.3000515942,20402197.151756875
254,27639288.31186887,1897397.7303013727,20285001.6287884
255,27645808.262853377,1953084.2747366913,19842745.434647936
256,27633128.31894982,1943975.4910577256,19119873.45749352
257,27618078.601994477,1925592.5011312254,19058463.498419467
258,27634185.897335894,1917635.4454302732,19347070.312622283
259,27614397.51353368,1895699.6119974554,18644811.419040468
260,27608501.722927596,1788879.2189587671,18689930.88847265
261,27583543.834380724,1727953.8287389893,18697913.95966071
262,27597785.815902047,1883832.689776374,18640685.43673863
263,27616302.36696296,1772123.6595853977,18469408.217826724
264,27572324.773873813,1952192.268957369,18767846.897339497
265,27590437.802020904,1921529.797227975,19011511.666613776
266,27570078.65327733,1808394.5770099964,19155885.12500504
267,27565759.399857428,1909145.4452540502,19030904.68738953
268,27516619.323832,1977337.6541431732,18819975.800258715
269,27537712.512571264,1997892.8588624746,18968729.931528207
270,27547044.87077586,1921689.1425059661,18844580.45523809
271,27637174.326640826,1946412.929603206,19223835.12141974
272,27531996.359956905,1956642.7688427847,19020968.14267488
273,27485664.532241445,1998249.2926331535,19166653.46653405
274,27505305.64450988,1993589.1631616447,19373825.364081845
275,27485223.57389434,1948403.7770564817,19735456.46311076
276,27486940.887804814,1938371.9261109084,19449598.50881338
277,27486219.5520193,1797099.1628724393,19999045.547256764
278,27482283.307510875,1924404.3634846509,19733675.400907826
279,27478357.146832254,1884502.8125109132,19684839.21939305
280,27466355.947945595,1951103.0360973552,19705039.038733736
281,27441305.75120465,1801601.0929259192,19815437.25094984
282,27435116.321252704,2001352.4818217289,19528798.765924044
283,27426810.309010427,1934305.9147589654,19593125.24176764
284,27429391.492144007,1934888.4600546118,19404638.173732013
285,27416387.038807902,1875232.295731457,19799559.56868697
286,27431953.8659011,1930858.8016132694,19676815.92763864
287,27418274.74113124,2077692.8387201168,19519759.64067316
288,27397726.96005352,1923358.0331146251,20064752.731816176
289,27393863.112481564,1805748.0645126328,20405267.063137285
290,27414910.88757393,2022910.8400487527,20312126.523534708
291,27372921.063536502,1928722.4694660306,20175652.49965266
292,27380979.96107322,1841449.728738565,20667708.48245502
293,27366490.59568581,1754754.403668929,20319476.071706053
294,27383709.51009108,1958834.6823333707,20708599.227991737
